site,cluster,actors,active,demand30,leaderUsers30,leaderShare,leaderFail,leaderRating,leader,expectedUsers,access
"woolworths","ecommerce",20,3,67.3333,20,0.2970,0.0556,5,"abotapi/woolworths-au-scraper",11.8333,"blocked 403"
"pracuj","jobs",19,4,102,45,0.4412,0.0031,5,"blackfalcondata/pracuj-scraper",11.4000,"blocked 403"
"cdiscount","ecommerce",11,0,15,4,0.2667,0,5.0000,"shahidirfan/cdiscount-product-scraper",11,"challenge (challenge-platform)"
"jora","jobs",18,2,60,28,0.4667,0.0193,5,"shahidirfan/Jora-Jobs-Scraper",10.6667,"blocked 403"
"costco","ecommerce",21,2,48,16,0.3333,0,4.5983,"e-commerce/costco-fast-product-scraper",10.6667,"ok"
"falabella","ecommerce",14,0,15,5,0.3333,0.7276,0,"scraperschile/falabella",10.0000,"ok"
"jobindex","jobs",17,1,40,20,0.5000,0.0125,5,"blackfalcondata/jobindex-scraper",10,"ok"
"kroger","ecommerce",10,0,14,4,0.2857,0.0198,5,"e-commerce/kroger-fast-product-scraper",10,"error (TimeoutError)"
"occ","jobs",8,1,32,15,0.4688,0.0192,0,"unfenced-group/occ-com-mx-scraper",8.5000,"ok"
"bumeran","jobs",10,2,43,20,0.4651,0.2836,0,"blackfalcondata/bumeran-scraper",7.6667,"ok"
"emag","ecommerce",12,1,23,11,0.4783,0.5524,5,"extractify-labs/emag-scraper",6,"blocked 511"
"saramin","jobs",7,0,7,1,0.1429,0.1034,0,"logiover/saramin-scraper",6,"ok"
"sainsbury","ecommerce",5,1,24,13,0.5417,0.1329,5,"illehius/sainsburys-scraper",5.5000,"blocked 403"
"asda","ecommerce",6,1,20,10,0.5000,0,5,"illehius/asda-scraper",5,"blocked 403"
"ddproperty","real estate",5,0,8,3,0.3750,0,0,"abotapi/ddproperty-scraper",5,"blocked 403"
"careerbuilder","jobs",6,1,19,10,0.5263,0.0263,0,"parseforge/careerbuilder-scraper",4.5000,"blocked 403"
"jobthai","jobs",3,0,4,2,0.5000,0,0,"mai_amm/jobthai-scraper",2,"ok"
"jobkorea","jobs",4,0,3,2,0.6667,0.0800,0,"scrapeai/jobkorea-scraper",1,"ok"
